symbol,mcap_cr
ASHAPURMIN,6101.15
ASHCAP,24.36
ASHIANA,3307.25
ASHIKA,1633.99
ASHIMASYN,302.92
ASHIS,18.57
ASHISHPO,10.42
ASHNI,98.4
ASHNOOR,65.47
ASHOKA,3770.36
ASHOKAMET,37.7
ASHOKLEY,102984.95
ASHOKRE,4.54
ASHRAM,6.05
ASHSI,30.97
ASHUTPM,4.38
ASIACAP,12.02
ASIAN,12.52
ASIANBRG,2.19
ASIANENE,1353.42
ASIANFR,0.91
ASIANHOTNR,946.62
ASIANPAINT,240479.16
ASIANTILES,1626.3
ASIANTNE,24.49
ASIAPAK,12.89
ASIIL,231.11
ASIL,2.84
ASINPET,21.88
ASISL,5.19
ASITCFIN,100.81
ASKAUTOLTD,8680.67
ASMS,278.63
ASMTEC,4286.41
ASPINWALL,177.15
ASPIRA,78.94
ASRL,21.24
ASSAMENT,112.97
ASSOCER,56.24
ASSOCIATED,13.48
ASTALLTD,186.36
ASTAR,1002.39
ASTEC,1488.76
ASTERDM,34942.73
ASTONEALAB,189.56
ASTRAL,41608.34
ASTRAMICRO,10460.26
ASTRAZEN,21209.13
ASTRON,20.07
ASTRONMULT,15.37
ASUTENT,0.56
ASYL,5.75
ATALREAL,318.02
ATAM,79.92
ATCOM,4.89
ATENPAPERS,22.12
ATGL,65555.88
ATHARVENT,6.49
ATHCON,3.1
ATHENAGLO,105.26
ATHERENERG,31094.27
ATIL,136.8
ATISHAY,220.35
ATL,662.99
ATLANTAA,337.47
ATLANTAELE,9967.99
ATLASCYCLE,62.52
ATMAIND,35.37
ATNINTER,0.75
ATUL,19091.53
ATULAUTO,1268.9
ATVOENT,232.87
ATVPR,175.4
AUBANK,73397.69
AUDROC,15.11
AUREATE,63.77
AURIGROW,54.13
AURIONPRO,4861.91
AURIQUE,1.62
AUROLAB,162.95
AUROPHARMA,76934.28
AURUM,1375.98
AUSOMENT,162.02
AUSTENG,42.88
AUSTERE,50.28
AUTOAXLES,2764.89
AUTOIND,331.87
AUTOINT,159.39
AUTOPINS,98.29
AUTOPRD,2.5
AVADHSUGAR,840.29
AVAILFC,152.37
AVALON,7685.74
AVANCE,228.27
AVANTEL,4051.6
AVANTIFEED,15774.65
AVAX,36.13
AVEER,232.2
AVG,252.04
AVI,134.27
AVIVA,63.73
AVL,6621.38
AVONMERC,8.97
AVONMORE,371.2
AVROIND,161.26
AVTNPL,1003.57
AWFIS,2425.34
AWHCL,1376.74
AWL,25533.89
AXELPOLY,46.96
AXENTRA,471.56
AXISBANK,405167.74
AXISCADES,6882.57
AXISOL,1008.17
AXITA,328.09
AXTEL,686.76
AYE,3223.82
AYMSYNTEX,1156.43
AZAD,11577.39
AZADIND,557.56
AZTEC,132.91
B2BSOFT,44.92
BABA,65.28
BACPHAR,68.9
BAFEG,0.64
BAFNAPH,314.17
BAGFILMS,103.37
BAGMANE,35145.91
BAIDFIN,163.18
BAIKAKAJI,394.89
BAJAJ-AUTO,272660.71
BAJAJCON,5609.01
BAJAJELEC,4324.01
BAJAJFINSV,295681.67
BAJAJHCARE,1059.23
BAJAJHFL,72345.53
BAJAJHIND,3071.68
BAJAJHLDNG,116073.21
BAJAJINDEF,879.19
BAJAJST,874.97
BAJEL,1988.78
BAJFINANCE,580333.46
BAJGLOB,0.22
BALAJEE,254.68
BALAJITELE,1143.32
BALAMINES,4434.09
BALAXI,129.55
BALGOPAL,328.43
BALKRISHNA,55.55
BALKRISIND,44251.52
BALLARPUR,115.12
BALMLAWRIE,3026.65
BALPHARMA,121.2
BALRAMCHIN,9882.07
BALTE,24.48
BALUFORGE,5388.54
BAMBINO,167.66
BAMPSL,65.4
BANARBEADS,74.66
BANARISUG,4520.62
BANASFN,61.82
BANCOINDIA,8849.91
BANDARAM,51.0
BANDHANBNK,28380.08
BANG,52.86
BANKA,75.89
BANKBARODA,146181.93
BANKINDIA,68756.36
BANSALWIRE,4485.42
BANSTEA,9.19
BANSWRAS,397.22
BAPACK,39.81
BARODARY,268.54
BAROEXT,178.97
BARONINF,1.66
BASANTGL,103.02
BASF,15518.88
BASML,188.33
BATAINDIA,9750.34
BATLIBOI,398.77
BAYERCROP,20338.9
BAZELINTER,16.53
BBL,2981.69
BBOX,11386.36
BBREALTY,6.29
BBTC,11202.0
BBTCL,393.95
BCCFUBA,240.17
BCCL,216.86
BCG,2027.63
BCLENTERPR,7.41
BCLIND,930.44
BCONCEPTS,305.64
BCP,13.41
BCPL,122.24
BDH,224.82
BDI,153.78
BDL,48905.33
BEARDSELL,105.57
BECTORFOOD,6118.8
BEDMUTHA,381.69
BEEKAY,781.61
BEEYU,3.85
BEEZAASAN,313.69
BEFOUNDMOL,3.7
BEL,313322.55
BELDING,2193.82
BELLACASA,372.9
BELRISE,17741.11
BEMHY,372.86
BEML,14355.9
BENARA,17.3
BENARAS,1274.98
BENCHMARK,18.7
BENGALASM,7144.28
BENGALS,0.02
BENGALT,135.49
BENTCOM,0.4
BEPL,2247.9
BERGEPAINT,55880.7
BERLDRG,11.02
BERVINL,34.48
BERYLSE,13.88
BESTAGRO,647.6
BESTEAST,19.54
BETA,1421.6
BETALA,0.85
BETXIND,56.62
BFINVEST,1521.09
BFLAFL,9.06
BFUTILITIE,2032.01
BGDL,1100.46
BGIL,10.28
BGLOBAL,4.9
BGRENERGY,2291.99
BGWTATO,155.38
BHAGCHEM,2957.62
BHAGERIA,732.75
BHAGGAS,5.21
BHAGWOX,8.81
BHAGYANGR,711.27
BHANDARI,111.93
BHANDERI,37.99
BHARAT,16.89
BHARATAGRI,142.57
BHARATCOAL,16718.48
BHARATFORG,84934.97
BHARATGEAR,168.89
BHARATIDIL,10.06
BHARATRAS,2580.36
BHARATROHAN,244.9
BHARATSE,1100.15
BHARATWIRE,1313.88
BHARTIARTL,1116490.61
BHARTIHEXA,78568.07
BHASKAGR,74.32
BHATEXT,18.2
BHATIA,307.6
BHAVIK,309.54
BHEEMACEM,52.67
BHEL,109928.78
BHILSPIN,103.51
BHUDEVI,113.51
BI,147.87
BIBCL,76.42
BIGBLOC,764.28
BIHSPONG,114.03
BIJHANS,132.74
BIKAJI,16436.23
BIL,1009.34
BILENERGY,13.95
BILLWIN,11.24
BILVYAPAR,18.55
BIMETAL,221.6
BINDALEXPO,12.08
BINNY,314.59
BINNYMILLS,76.39
BIOCON,61355.7
BIOFILCHEM,54.18
BIOGEN,49.55
BIOPAC,3.43
BIRET,25995.08
BIRLACABLE,462.76
BIRLACAP,0.94
BIRLACORPN,7548.8
BIRLACOT,34.93
BIRLAMONEY,748.56
BIRLANU,1116.3
BIRLAPREC,245.76
BIRLATR,2.13
BITS,96.99
BIZOTIC,742.6
BKMINDST,11.93
BKV,14.7
BLACKBUCK,10509.02
BLACKROSE,450.29
BLAL,778.53
BLBLIMITED,84.41
BLIL,1592.93
BLISSGVS,2840.34
BLKASHYAP,1166.45
BLOIN,22.38
BLOOM,7.42
BLS,11248.9
BLSE,1651.2
BLSINFOTE,59.96
BLT,16.27
BLUBLND-B,2.1
BLUECHIP,15.39
BLUECHIPT,24.65
BLUECLOUDS,1382.58
BLUECOAST,46.92
BLUEDART,12473.15
BLUEGOD,191.47
BLUEJET,7532.7
BLUESTARCO,36222.18
BLUESTONE,7337.62
BLUSPRING,999.06
BMAL,16.4
